.region_id,ecometric,year,value,time_period
25025010405,Guns,2010,0.35,2010-01-01
25025010405,Guns,2011,0.89,2011-01-01
25025010405,Guns,2012,1.2,2012-01-01
25025010405,Guns,2013,0.84,2013-01-01
25025010405,Guns,2014,1.5,2014-01-01
25025010405,Guns,2015,1.15,2015-01-01
25025010405,Guns,2016,1.48,2016-01-01
25025010405,Guns,2017,1.64,2017-01-01
25025010405,Guns,2018,0.49,2018-01-01
25025010405,Guns,2019,0.17,2019-01-01
25025010404,Guns,2010,0,2010-01-01
25025010404,Guns,2011,0.86,2011-01-01
25025010404,Guns,2012,0.17,2012-01-01
25025010404,Guns,2013,1.35,2013-01-01
25025010404,Guns,2014,1.58,2014-01-01
25025010404,Guns,2015,1.17,2015-01-01
25025010404,Guns,2016,0.78,2016-01-01
25025010404,Guns,2017,0.39,2017-01-01
25025010404,Guns,2018,1.17,2018-01-01
25025010404,Guns,2019,0.19,2019-01-01
25025010801,Guns,2010,0,2010-01-01
25025010801,Guns,2011,0,2011-01-01
25025010801,Guns,2012,0,2012-01-01
25025010801,Guns,2013,0.32,2013-01-01
25025010801,Guns,2014,0.61,2014-01-01
25025010801,Guns,2015,0.31,2015-01-01
25025010801,Guns,2016,0.62,2016-01-01
25025010801,Guns,2017,0.31,2017-01-01
25025010801,Guns,2018,0.62,2018-01-01
25025010801,Guns,2019,0,2019-01-01
25025010702,Guns,2010,0.46,2010-01-01
25025010702,Guns,2011,2.12,2011-01-01
25025010702,Guns,2012,2.88,2012-01-01
25025010702,Guns,2013,3.68,2013-01-01
25025010702,Guns,2014,3.22,2014-01-01
25025010702,Guns,2015,2.71,2015-01-01
25025010702,Guns,2016,5.8,2016-01-01
25025010702,Guns,2017,5.41,2017-01-01
25025010702,Guns,2018,5.41,2018-01-01
25025010702,Guns,2019,2.68,2019-01-01
25025010204,Guns,2010,0,2010-01-01
25025010204,Guns,2011,0.3,2011-01-01
25025010204,Guns,2012,0.31,2012-01-01
25025010204,Guns,2013,0.6,2013-01-01
25025010204,Guns,2014,0.92,2014-01-01
25025010204,Guns,2015,0,2015-01-01
25025010204,Guns,2016,0.89,2016-01-01
25025010204,Guns,2017,0,2017-01-01
25025010204,Guns,2018,1.49,2018-01-01
25025010204,Guns,2019,0.28,2019-01-01
25025010802,Guns,2010,0,2010-01-01
25025010802,Guns,2011,0.33,2011-01-01
25025010802,Guns,2012,0,2012-01-01
25025010802,Guns,2013,0.7,2013-01-01
25025010802,Guns,2014,0,2014-01-01
25025010802,Guns,2015,0.63,2015-01-01
25025010802,Guns,2016,0,2016-01-01
25025010802,Guns,2017,0.63,2017-01-01
25025010802,Guns,2018,0.32,2018-01-01
25025010802,Guns,2019,0,2019-01-01
25025010104,Guns,2010,0,2010-01-01
25025010104,Guns,2011,0.42,2011-01-01
25025010104,Guns,2012,0.64,2012-01-01
